OrderID,Date,CustomerID,Product,Quantity,UnitPrice,GrossAmount,CouponCode,DiscountPercent,DiscountAmount,NetAmount,TotalPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,ReferralSource,OrderYear,OrderMonth,OrderMonthName,OrderDay,DayOfWeek,IsWeekend
ORD200015,2023-07-17,C39416,Printer,1,473.96,473.96,NO_COUPON,0.0,0.0,473.96,473.96,942 Main St,Cash,Delivered,TRK54930938,3,Google,2023,7,July,17,Monday,0
ORD200016,2023-01-24,C28976,Printer,2,533.81,1067.62,FREESHIP,0.0,0.0,1067.62,1067.62,914 Main St,Credit Card,Pending,TRK13194259,3,Email,2023,1,January,24,Tuesday,0
ORD200017,2024-03-02,C60672,Tablet,1,423.4,423.4,NO_COUPON,0.0,0.0,423.4,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,Referral,2024,3,March,2,Saturday,1
ORD200018,2025-03-26,C84329,Desk,1,431.44,431.44,SAVE10,0.1,43.14,388.3,431.44,891 Main St,Gift Card,Pending,TRK65191045,3,Facebook,2025,3,March,26,Wednesday,0
ORD200019,2023-01-23,C14552,Monitor,5,224.0,1120.0,SAVE10,0.1,112.0,1008.0,1120.0,273 Main St,Cash,Returned,TRK59101365,9,Google,2023,1,January,23,Monday,0
ORD200020,2023-05-08,C54829,Chair,5,62.51,312.55,WINTER15,0.15,46.88,265.67,312.55,587 Main St,Cash,Pending,TRK16718651,9,Instagram,2023,5,May,8,Monday,0
ORD200021,2024-11-17,C99023,Monitor,4,342.95,1371.8,NO_COUPON,0.0,0.0,1371.8,1371.8,569 Main St,Cash,Delivered,TRK52646983,6,Google,2024,11,November,17,Sunday,1
ORD200022,2023-01-29,C34416,Monitor,2,49.62,99.24,SAVE10,0.1,9.92,89.32,99.24,633 Main St,Online,Pending,TRK75937350,2,Google,2023,1,January,29,Sunday,1
ORD200023,2025-04-09,C42372,Phone,4,273.25,1093.0,FREESHIP,0.0,0.0,1093.0,1093.0,755 Main St,Debit Card,Cancelled,TRK36168083,5,Referral,2025,4,April,9,Wednesday,0
ORD200024,2024-10-30,C17470,Laptop,2,230.95,461.9,WINTER15,0.15,69.28,392.62,461.9,956 Main St,Online,Delivered,TRK28775057,3,Referral,2024,10,October,30,Wednesday,0
ORD200025,2024-07-24,C42577,Monitor,1,399.98,399.98,WINTER15,0.15,60.0,339.98,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,Email,2024,7,July,24,Wednesday,0
ORD200026,2024-03-06,C21944,Laptop,5,59.55,297.75,NO_COUPON,0.0,0.0,297.75,297.75,296 Main St,Online,Delivered,TRK80276812,6,Referral,2024,3,March,6,Wednesday,0
ORD200027,2024-02-22,C97593,Printer,1,472.74,472.74,WINTER15,0.15,70.91,401.83,472.74,881 Main St,Online,Shipped,TRK89117573,6,Google,2024,2,February,22,Thursday,0
ORD200028,2023-11-21,C59823,Phone,4,160.07,640.28,NO_COUPON,0.0,0.0,640.28,640.28,568 Main St,Online,Pending,TRK65895539,5,Email,2023,11,November,21,Tuesday,0
ORD200029,2024-09-20,C33260,Desk,3,423.53,1270.59,SAVE10,0.1,127.06,1143.53,1270.59,930 Main St,Credit Card,Delivered,TRK59744090,6,Referral,2024,9,September,20,Friday,0
ORD200030,2025-03-22,C44267,Monitor,2,426.7,853.4,SAVE10,0.1,85.34,768.06,853.4,895 Main St,Online,Pending,TRK54751444,5,Referral,2025,3,March,22,Saturday,1
ORD200031,2023-06-30,C26445,Chair,3,500.08,1500.24,NO_COUPON,0.0,0.0,1500.24,1500.24,996 Main St,Debit Card,Returned,TRK31229981,6,Facebook,2023,6,June,30,Friday,0
ORD200032,2023-05-01,C12388,Tablet,5,536.72,2683.6,NO_COUPON,0.0,0.0,2683.6,2683.6,830 Main St,Cash,Delivered,TRK99261395,10,Email,2023,5,May,1,Monday,0
ORD200033,2023-06-05,C52184,Chair,1,162.77,162.77,WINTER15,0.15,24.42,138.35,162.77,912 Main St,Online,Cancelled,TRK73312471,4,Facebook,2023,6,June,5,Monday,0
ORD200034,2023-01-07,C67195,Chair,4,576.52,2306.08,WINTER15,0.15,345.91,1960.17,2306.08,926 Main St,Credit Card,Pending,TRK55467915,5,Facebook,2023,1,January,7,Saturday,1
ORD200035,2024-12-07,C50304,Monitor,2,465.15,930.3,SAVE10,0.1,93.03,837.27,930.3,128 Main St,Online,Shipped,TRK46850888,2,Facebook,2024,12,December,7,Saturday,1
ORD200036,2025-05-08,C59337,Laptop,2,534.43,1068.86,NO_COUPON,0.0,0.0,1068.86,1068.86,465 Main St,Debit Card,Pending,TRK50961250,5,Facebook,2025,5,May,8,Thursday,0
ORD200037,2024-10-14,C10054,Laptop,2,76.74,153.48,SAVE10,0.1,15.35,138.13,153.48,409 Main St,Cash,Returned,TRK94005261,7,Instagram,2024,10,October,14,Monday,0
ORD200038,2024-12-19,C15924,Laptop,1,245.89,245.89,SAVE10,0.1,24.59,221.3,245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,Google,2024,12,December,19,Thursday,0
ORD200039,2025-02-27,C96664,Printer,3,256.46,769.38,SAVE10,0.1,76.94,692.44,769.38,666 Main St,Credit Card,Delivered,TRK85508960,4,Referral,2025,2,February,27,Thursday,0
ORD200040,2023-08-20,C84766,Desk,2,344.02,688.04,FREESHIP,0.0,0.0,688.04,688.04,267 Main St,Online,Delivered,TRK78967923,4,Instagram,2023,8,August,20,Sunday,1
ORD200041,2023-12-05,C20212,Monitor,3,611.45,1834.35,FREESHIP,0.0,0.0,1834.35,1834.35,657 Main St,Gift Card,Pending,TRK69733327,4,Instagram,2023,12,December,5,Tuesday,0
ORD200042,2024-05-06,C28712,Printer,2,151.66,303.32,NO_COUPON,0.0,0.0,303.32,303.32,980 Main St,Cash,Cancelled,TRK40772558,6,Instagram,2024,5,May,6,Monday,0
ORD200043,2023-12-14,C60572,Chair,3,499.21,1497.63,NO_COUPON,0.0,0.0,1497.63,1497.63,871 Main St,Online,Cancelled,TRK20351666,8,Instagram,2023,12,December,14,Thursday,0
ORD200044,2025-04-21,C73225,Phone,2,550.18,1100.36,FREESHIP,0.0,0.0,1100.36,1100.36,996 Main St,Gift Card,Returned,TRK73848522,3,Referral,2025,4,April,21,Monday,0
ORD200045,2024-02-10,C17388,Chair,1,317.25,317.25,SAVE10,0.1,31.72,285.53,317.25,157 Main St,Debit Card,Returned,TRK47077395,1,Facebook,2024,2,February,10,Saturday,1
ORD200046,2024-06-26,C43212,Monitor,4,550.14,2200.56,FREESHIP,0.0,0.0,2200.56,2200.56,223 Main St,Debit Card,Pending,TRK25100762,4,Instagram,2024,6,June,26,Wednesday,0
ORD200047,2023-07-19,C38134,Desk,2,209.94,419.88,FREESHIP,0.0,0.0,419.88,419.88,323 Main St,Credit Card,Returned,TRK42450754,3,Email,2023,7,July,19,Wednesday,0
ORD200048,2023-08-26,C12408,Monitor,2,80.77,161.54,NO_COUPON,0.0,0.0,161.54,161.54,464 Main St,Debit Card,Shipped,TRK38938858,4,Google,2023,8,August,26,Saturday,1
ORD200049,2023-10-07,C11985,Printer,1,30.44,30.44,SAVE10,0.1,3.04,27.4,30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,Email,2023,10,October,7,Saturday,1
ORD200050,2023-07-31,C96494,Tablet,1,179.22,179.22,FREESHIP,0.0,0.0,179.22,179.22,446 Main St,Online,Cancelled,TRK14675049,6,Instagram,2023,7,July,31,Monday,0
ORD200051,2024-12-30,C36778,Tablet,1,388.33,388.33,SAVE10,0.1,38.83,349.5,388.33,434 Main St,Cash,Returned,TRK67610289,2,Facebook,2024,12,December,30,Monday,0
ORD200052,2024-09-08,C30513,Tablet,1,586.44,586.44,SAVE10,0.1,58.64,527.8,586.44,232 Main St,Online,Returned,TRK64320429,5,Facebook,2024,9,September,8,Sunday,1
ORD200053,2024-05-18,C67551,Phone,4,488.78,1955.12,FREESHIP,0.0,0.0,1955.12,1955.12,512 Main St,Online,Returned,TRK94992552,5,Google,2024,5,May,18,Saturday,1
ORD200054,2025-03-27,C48120,Chair,1,280.25,280.25,WINTER15,0.15,42.04,238.21,280.25,623 Main St,Online,Pending,TRK11014449,5,Email,2025,3,March,27,Thursday,0
ORD200055,2025-06-24,C95984,Printer,3,344.4,1033.2,NO_COUPON,0.0,0.0,1033.2,1033.2,565 Main St,Online,Cancelled,TRK67434829,3,Facebook,2025,6,June,24,Tuesday,0
ORD200056,2023-05-21,C54298,Tablet,3,479.21,1437.63,WINTER15,0.15,215.64,1221.99,1437.63,566 Main St,Cash,Cancelled,TRK62902341,5,Referral,2023,5,May,21,Sunday,1
ORD200057,2023-01-22,C88036,Printer,5,314.27,1571.35,SAVE10,0.1,157.14,1414.21,1571.35,842 Main St,Cash,Returned,TRK52470128,6,Instagram,2023,1,January,22,Sunday,1
ORD200058,2023-01-15,C60190,Phone,4,474.69,1898.76,SAVE10,0.1,189.88,1708.88,1898.76,202 Main St,Gift Card,Cancelled,TRK70857868,6,Google,2023,1,January,15,Sunday,1
ORD200059,2024-09-11,C97603,Chair,4,593.27,2373.08,NO_COUPON,0.0,0.0,2373.08,2373.08,811 Main St,Online,Shipped,TRK47055028,5,Facebook,2024,9,September,11,Wednesday,0
ORD200060,2024-08-21,C39256,Desk,1,417.1,417.1,FREESHIP,0.0,0.0,417.1,417.1,634 Main St,Debit Card,Returned,TRK23412025,3,Referral,2024,8,August,21,Wednesday,0
ORD200061,2024-03-24,C61618,Desk,4,122.2,488.8,FREESHIP,0.0,0.0,488.8,488.8,104 Main St,Cash,Delivered,TRK43458485,7,Facebook,2024,3,March,24,Sunday,1
ORD200062,2023-08-22,C36497,Desk,2,43.15,86.3,WINTER15,0.15,12.94,73.36,86.3,691 Main St,Debit Card,Pending,TRK12102911,3,Email,2023,8,August,22,Tuesday,0
ORD200063,2025-02-02,C96695,Chair,1,564.86,564.86,WINTER15,0.15,84.73,480.13,564.86,813 Main St,Debit Card,Shipped,TRK64283851,6,Referral,2025,2,February,2,Sunday,1
ORD200064,2025-06-25,C49720,Printer,3,130.61,391.83,FREESHIP,0.0,0.0,391.83,391.83,752 Main St,Debit Card,Cancelled,TRK55785217,4,Facebook,2025,6,June,25,Wednesday,0
ORD200065,2023-12-30,C97735,Monitor,5,81.7,408.5,NO_COUPON,0.0,0.0,408.5,408.5,385 Main St,Credit Card,Delivered,TRK13743703,6,Instagram,2023,12,December,30,Saturday,1
ORD200066,2024-11-15,C18104,Chair,5,127.18,635.9,SAVE10,0.1,63.59,572.31,635.9,715 Main St,Cash,Cancelled,TRK15488568,9,Referral,2024,11,November,15,Friday,0
ORD200067,2024-12-09,C25587,Printer,4,12.1,48.4,NO_COUPON,0.0,0.0,48.4,48.4,440 Main St,Debit Card,Cancelled,TRK55105323,8,Google,2024,12,December,9,Monday,0
ORD200068,2023-12-11,C41598,Chair,3,490.92,1472.76,FREESHIP,0.0,0.0,1472.76,1472.76,709 Main St,Credit Card,Pending,TRK81665940,5,Email,2023,12,December,11,Monday,0
ORD200069,2023-05-11,C43338,Monitor,3,478.65,1435.95,NO_COUPON,0.0,0.0,1435.95,1435.95,552 Main St,Online,Shipped,TRK35241775,4,Referral,2023,5,May,11,Thursday,0
ORD200070,2023-05-26,C25123,Desk,1,629.21,629.21,FREESHIP,0.0,0.0,629.21,629.21,384 Main St,Gift Card,Pending,TRK27812282,2,Instagram,2023,5,May,26,Friday,0
ORD200071,2025-06-10,C37454,Monitor,3,434.45,1303.35,NO_COUPON,0.0,0.0,1303.35,1303.35,923 Main St,Credit Card,Pending,TRK28252730,4,Referral,2025,6,June,10,Tuesday,0
ORD200072,2024-12-22,C19451,Tablet,4,589.44,2357.76,NO_COUPON,0.0,0.0,2357.76,2357.76,942 Main St,Gift Card,Returned,TRK87787793,5,Facebook,2024,12,December,22,Sunday,1
ORD200073,2023-05-03,C17269,Monitor,4,433.45,1733.8,NO_COUPON,0.0,0.0,1733.8,1733.8,129 Main St,Gift Card,Cancelled,TRK79608389,4,Facebook,2023,5,May,3,Wednesday,0
ORD200074,2023-06-24,C25382,Phone,5,90.87,454.35,NO_COUPON,0.0,0.0,454.35,454.35,622 Main St,Cash,Pending,TRK64691287,5,Instagram,2023,6,June,24,Saturday,1
ORD200075,2023-09-26,C80651,Tablet,3,398.17,1194.51,SAVE10,0.1,119.45,1075.06,1194.51,917 Main St,Debit Card,Delivered,TRK14846720,5,Email,2023,9,September,26,Tuesday,0
ORD200076,2024-03-31,C58638,Laptop,4,382.88,1531.52,WINTER15,0.15,229.73,1301.79,1531.52,239 Main St,Cash,Cancelled,TRK38224871,6,Email,2024,3,March,31,Sunday,1
ORD200077,2024-05-24,C50121,Phone,1,583.18,583.18,NO_COUPON,0.0,0.0,583.18,583.18,348 Main St,Credit Card,Returned,TRK79810059,5,Google,2024,5,May,24,Friday,0
ORD200078,2024-08-06,C32029,Printer,4,175.36,701.44,FREESHIP,0.0,0.0,701.44,701.44,146 Main St,Debit Card,Delivered,TRK68535532,4,Instagram,2024,8,August,6,Tuesday,0
ORD200079,2025-03-10,C76700,Tablet,2,311.91,623.82,NO_COUPON,0.0,0.0,623.82,623.82,103 Main St,Online,Shipped,TRK13036341,2,Facebook,2025,3,March,10,Monday,0
ORD200080,2023-06-27,C29041,Phone,3,589.56,1768.68,NO_COUPON,0.0,0.0,1768.68,1768.68,591 Main St,Online,Returned,TRK28840655,6,Facebook,2023,6,June,27,Tuesday,0
ORD200081,2023-06-08,C29314,Monitor,2,394.3,788.6,FREESHIP,0.0,0.0,788.6,788.6,496 Main St,Cash,Shipped,TRK59876213,6,Email,2023,6,June,8,Thursday,0
ORD200082,2024-01-05,C65799,Tablet,4,565.2,2260.8,SAVE10,0.1,226.08,2034.72,2260.8,971 Main St,Debit Card,Shipped,TRK66906607,9,Google,2024,1,January,5,Friday,0
ORD200083,2023-08-22,C15681,Laptop,4,540.41,2161.64,NO_COUPON,0.0,0.0,2161.64,2161.64,989 Main St,Credit Card,Cancelled,TRK75112172,6,Referral,2023,8,August,22,Tuesday,0
ORD200084,2023-08-28,C64160,Monitor,2,165.49,330.98,WINTER15,0.15,49.65,281.33,330.98,967 Main St,Online,Shipped,TRK34121529,4,Instagram,2023,8,August,28,Monday,0
ORD200085,2024-09-09,C14553,Tablet,3,146.73,440.19,FREESHIP,0.0,0.0,440.19,440.19,768 Main St,Cash,Delivered,TRK93538334,8,Email,2024,9,September,9,Monday,0
ORD200086,2024-06-19,C88205,Printer,5,643.03,3215.15,FREESHIP,0.0,0.0,3215.15,3215.15,447 Main St,Online,Cancelled,TRK93504166,5,Referral,2024,6,June,19,Wednesday,0
ORD200087,2024-10-10,C91245,Tablet,3,225.11,675.33,SAVE10,0.1,67.53,607.8,675.33,915 Main St,Cash,Shipped,TRK46976391,4,Facebook,2024,10,October,10,Thursday,0
ORD200088,2025-06-05,C75439,Desk,3,114.81,344.43,NO_COUPON,0.0,0.0,344.43,344.43,318 Main St,Gift Card,Cancelled,TRK19831653,7,Google,2025,6,June,5,Thursday,0
ORD200089,2025-02-25,C17181,Printer,5,455.33,2276.65,FREESHIP,0.0,0.0,2276.65,2276.65,291 Main St,Credit Card,Cancelled,TRK78912978,8,Google,2025,2,February,25,Tuesday,0
ORD200090,2023-09-18,C36540,Chair,4,182.08,728.32,SAVE10,0.1,72.83,655.49,728.32,611 Main St,Gift Card,Delivered,TRK35828122,4,Email,2023,9,September,18,Monday,0
ORD200091,2023-03-15,C98216,Laptop,5,492.75,2463.75,WINTER15,0.15,369.56,2094.19,2463.75,196 Main St,Cash,Shipped,TRK40986666,6,Referral,2023,3,March,15,Wednesday,0
ORD200092,2024-06-10,C29568,Printer,4,48.61,194.44,FREESHIP,0.0,0.0,194.44,194.44,203 Main St,Online,Shipped,TRK46531075,7,Facebook,2024,6,June,10,Monday,0
ORD200093,2023-01-14,C97262,Desk,4,431.01,1724.04,NO_COUPON,0.0,0.0,1724.04,1724.04,837 Main St,Credit Card,Returned,TRK65990229,7,Referral,2023,1,January,14,Saturday,1
ORD200094,2023-02-11,C79821,Chair,1,531.18,531.18,WINTER15,0.15,79.68,451.5,531.18,781 Main St,Gift Card,Returned,TRK12780193,6,Instagram,2023,2,February,11,Saturday,1
ORD200095,2023-03-24,C76761,Printer,4,117.51,470.04,NO_COUPON,0.0,0.0,470.04,470.04,839 Main St,Debit Card,Returned,TRK60179774,7,Referral,2023,3,March,24,Friday,0
ORD200096,2024-06-01,C93007,Phone,2,232.83,465.66,NO_COUPON,0.0,0.0,465.66,465.66,103 Main St,Gift Card,Delivered,TRK85696091,7,Instagram,2024,6,June,1,Saturday,1
ORD200097,2025-01-21,C15624,Tablet,5,619.52,3097.6,NO_COUPON,0.0,0.0,3097.6,3097.6,922 Main St,Debit Card,Pending,TRK40621141,9,Email,2025,1,January,21,Tuesday,0
ORD200098,2023-01-14,C70921,Printer,2,228.54,457.08,NO_COUPON,0.0,0.0,457.08,457.08,533 Main St,Debit Card,Pending,TRK54983109,3,Email,2023,1,January,14,Saturday,1
ORD200099,2025-04-12,C30477,Printer,1,201.58,201.58,WINTER15,0.15,30.24,171.34,201.58,717 Main St,Debit Card,Cancelled,TRK51829648,2,Email,2025,4,April,12,Saturday,1
ORD200100,2023-02-17,C74866,Phone,3,664.79,1994.37,NO_COUPON,0.0,0.0,1994.37,1994.37,743 Main St,Online,Delivered,TRK53783265,6,Facebook,2023,2,February,17,Friday,0
ORD200101,2023-11-25,C15283,Printer,1,381.02,381.02,NO_COUPON,0.0,0.0,381.02,381.02,152 Main St,Cash,Shipped,TRK19286291,6,Google,2023,11,November,25,Saturday,1
ORD200102,2023-03-08,C18037,Laptop,2,70.34,140.68,FREESHIP,0.0,0.0,140.68,140.68,944 Main St,Gift Card,Cancelled,TRK47362236,3,Email,2023,3,March,8,Wednesday,0
ORD200103,2025-01-25,C62656,Phone,4,218.43,873.72,SAVE10,0.1,87.37,786.35,873.72,514 Main St,Credit Card,Cancelled,TRK86296459,9,Email,2025,1,January,25,Saturday,1
ORD200104,2024-07-30,C65744,Phone,1,582.04,582.04,FREESHIP,0.0,0.0,582.04,582.04,647 Main St,Gift Card,Delivered,TRK39906058,1,Email,2024,7,July,30,Tuesday,0
ORD200105,2024-10-24,C72290,Printer,3,185.4,556.2,NO_COUPON,0.0,0.0,556.2,556.2,810 Main St,Gift Card,Cancelled,TRK68792129,7,Facebook,2024,10,October,24,Thursday,0
ORD200106,2023-09-08,C73514,Desk,3,465.05,1395.15,SAVE10,0.1,139.52,1255.63,1395.15,126 Main St,Credit Card,Cancelled,TRK96777924,3,Email,2023,9,September,8,Friday,0
ORD200107,2023-03-27,C16775,Printer,5,670.75,3353.75,FREESHIP,0.0,0.0,3353.75,3353.75,848 Main St,Gift Card,Shipped,TRK34392124,8,Instagram,2023,3,March,27,Monday,0
ORD200108,2024-12-28,C33099,Laptop,5,48.38,241.9,WINTER15,0.15,36.28,205.62,241.9,522 Main St,Gift Card,Delivered,TRK28522330,9,Email,2024,12,December,28,Saturday,1
ORD200109,2023-09-17,C51157,Desk,3,592.87,1778.61,FREESHIP,0.0,0.0,1778.61,1778.61,131 Main St,Gift Card,Shipped,TRK18674578,3,Referral,2023,9,September,17,Sunday,1
ORD200110,2024-04-21,C74562,Tablet,1,220.77,220.77,FREESHIP,0.0,0.0,220.77,220.77,388 Main St,Gift Card,Pending,TRK32062079,5,Instagram,2024,4,April,21,Sunday,1
ORD200111,2025-05-07,C95271,Desk,3,309.22,927.66,FREESHIP,0.0,0.0,927.66,927.66,620 Main St,Online,Cancelled,TRK74904969,7,Google,2025,5,May,7,Wednesday,0
ORD200112,2023-01-01,C81366,Monitor,1,410.6,410.6,WINTER15,0.15,61.59,349.01,410.6,423 Main St,Online,Cancelled,TRK17062206,2,Referral,2023,1,January,1,Sunday,1
ORD200113,2024-01-17,C65905,Laptop,5,190.08,950.4,FREESHIP,0.0,0.0,950.4,950.4,605 Main St,Cash,Shipped,TRK73954365,9,Instagram,2024,1,January,17,Wednesday,0
ORD200114,2025-01-27,C77272,Monitor,5,498.48,2492.4,SAVE10,0.1,249.24,2243.16,2492.4,115 Main St,Online,Pending,TRK29708128,8,Google,2025,1,January,27,Monday,0
ORD200115,2023-11-27,C32580,Phone,5,374.99,1874.95,SAVE10,0.1,187.5,1687.45,1874.95,122 Main St,Online,Shipped,TRK23670394,9,Facebook,2023,11,November,27,Monday,0
ORD200116,2023-03-19,C47761,Printer,4,291.35,1165.4,WINTER15,0.15,174.81,990.59,1165.4,109 Main St,Credit Card,Cancelled,TRK66669207,6,Facebook,2023,3,March,19,Sunday,1
ORD200117,2023-03-08,C49187,Tablet,1,535.5,535.5,WINTER15,0.15,80.32,455.18,535.5,593 Main St,Gift Card,Cancelled,TRK81888598,5,Referral,2023,3,March,8,Wednesday,0
ORD200118,2023-10-09,C27898,Printer,5,502.71,2513.55,FREESHIP,0.0,0.0,2513.55,2513.55,807 Main St,Gift Card,Shipped,TRK61957665,7,Google,2023,10,October,9,Monday,0
ORD200119,2025-06-11,C14683,Desk,2,534.67,1069.34,FREESHIP,0.0,0.0,1069.34,1069.34,187 Main St,Debit Card,Shipped,TRK47373682,7,Referral,2025,6,June,11,Wednesday,0
ORD200120,2023-04-11,C58108,Tablet,4,629.34,2517.36,WINTER15,0.15,377.6,2139.76,2517.36,986 Main St,Cash,Cancelled,TRK66218053,4,Instagram,2023,4,April,11,Tuesday,0
ORD200121,2023-11-30,C89822,Desk,1,410.78,410.78,FREESHIP,0.0,0.0,410.78,410.78,673 Main St,Cash,Cancelled,TRK24138598,1,Instagram,2023,11,November,30,Thursday,0
ORD200122,2024-04-15,C96787,Laptop,2,533.02,1066.04,NO_COUPON,0.0,0.0,1066.04,1066.04,588 Main St,Gift Card,Shipped,TRK30422853,2,Facebook,2024,4,April,15,Monday,0
ORD200123,2023-07-06,C86064,Desk,3,278.04,834.12,NO_COUPON,0.0,0.0,834.12,834.12,727 Main St,Online,Delivered,TRK62182901,5,Instagram,2023,7,July,6,Thursday,0
ORD200124,2024-07-28,C97148,Printer,4,283.79,1135.16,NO_COUPON,0.0,0.0,1135.16,1135.16,563 Main St,Online,Pending,TRK85321126,8,Google,2024,7,July,28,Sunday,1
ORD200125,2024-11-06,C91099,Phone,2,512.65,1025.3,SAVE10,0.1,102.53,922.77,1025.3,758 Main St,Credit Card,Shipped,TRK81846174,5,Email,2024,11,November,6,Wednesday,0
ORD200126,2025-05-03,C55606,Desk,4,275.5,1102.0,FREESHIP,0.0,0.0,1102.0,1102.0,353 Main St,Gift Card,Shipped,TRK68250319,8,Google,2025,5,May,3,Saturday,1
ORD200127,2023-08-10,C71486,Desk,3,469.32,1407.96,NO_COUPON,0.0,0.0,1407.96,1407.96,365 Main St,Debit Card,Shipped,TRK73929833,3,Google,2023,8,August,10,Thursday,0
ORD200128,2023-02-17,C86408,Tablet,4,21.07,84.28,FREESHIP,0.0,0.0,84.28,84.28,244 Main St,Gift Card,Delivered,TRK41432648,4,Google,2023,2,February,17,Friday,0
ORD200129,2023-10-27,C52751,Laptop,4,263.93,1055.72,FREESHIP,0.0,0.0,1055.72,1055.72,427 Main St,Debit Card,Shipped,TRK72481234,4,Facebook,2023,10,October,27,Friday,0
ORD200130,2025-01-22,C29059,Desk,3,501.3,1503.9,WINTER15,0.15,225.58,1278.32,1503.9,513 Main St,Online,Cancelled,TRK88360704,3,Facebook,2025,1,January,22,Wednesday,0
ORD200131,2023-01-08,C72862,Tablet,1,84.8,84.8,NO_COUPON,0.0,0.0,84.8,84.8,606 Main St,Gift Card,Pending,TRK51648833,5,Instagram,2023,1,January,8,Sunday,1
ORD200132,2023-03-28,C96257,Tablet,4,450.75,1803.0,WINTER15,0.15,270.45,1532.55,1803.0,583 Main St,Credit Card,Shipped,TRK13137948,6,Email,2023,3,March,28,Tuesday,0
ORD200133,2025-06-20,C87432,Chair,4,302.05,1208.2,SAVE10,0.1,120.82,1087.38,1208.2,636 Main St,Debit Card,Cancelled,TRK68969625,6,Google,2025,6,June,20,Friday,0
ORD200134,2025-06-23,C16253,Laptop,2,199.7,399.4,NO_COUPON,0.0,0.0,399.4,399.4,583 Main St,Cash,Pending,TRK17354894,4,Email,2025,6,June,23,Monday,0
ORD200135,2023-08-04,C79909,Printer,2,68.81,137.62,SAVE10,0.1,13.76,123.86,137.62,642 Main St,Gift Card,Shipped,TRK86742257,5,Referral,2023,8,August,4,Friday,0
